blind_id,sample_index,scenario_id,active_validity,structure,transition_coherence,rs_current
ADV-1CAA91B171,1,APT29-Water-ICS-001,1.0,1.0,0.75,0.9375
ADV-C05BE69843,2,mustang_panda_financial_services_01,1.0,1.0,0.666667,0.916667
ADV-8AF256BCB3,3,APT29_Ransomware_Cloud_Nov2023,1.0,1.0,0.666667,0.916667
ADV-B2E9905898,4,MUSTANG_PANDA_MEDIA_PHISHING_001,1.0,1.0,0.666667,0.916667
ADV-78A0501165,5,ICS-Phishing-001,1.0,1.0,0.777778,0.944444
ADV-B62CD08163,6,APT-001,1.0,1.0,0.8,0.95
ADV-E772BB9223,7,sandworm_insider_threat_media_001,1.0,1.0,0.666667,0.916667
ADV-81547B2A29,8,cloud_phishing_attack_001,1.0,1.0,0.5,0.875
ADV-FCF97FA24C,9,APT35-Ransomware-Hospital-001,1.0,1.0,0.75,0.9375
ADV-2F29AB1708,10,MustangPanda_APT_Manufacturing_001,1.0,1.0,0.8,0.95
ADV-305392BC3B,11,APT29-Financial-Cloud-2023,1.0,1.0,0.666667,0.916667
ADV-02A61B0920,12,KIMSUKY_HigherEd_Phishing_Ransomware_001,1.0,1.0,0.6,0.9
ADV-63C9C410EA,13,phishing_healthcare_001,1.0,0.85,0.5,0.8225
ADV-001A0228DB,14,APT41_Telecom_Ransomware_001,1.0,1.0,0.75,0.9375
ADV-59FB56CD06,15,APT-Cloud-Infrastructure-001,1.0,1.0,0.333333,0.833333
ADV-451AC20382,16,insider-threat-001,1.0,0.85,0.75,0.885
ADV-E74C554359,17,ICS-Ransomware-001,1.0,1.0,0.75,0.9375
ADV-75866EA9B9,18,healthcare_ransomware_001,1.0,0.85,0.5,0.8225
ADV-A68E462F83,19,Lazarus_Ransomware_Telecom_2023,1.0,1.0,0.666667,0.916667
ADV-B3497BB649,20,insider_threat_cloud_001,1.0,1.0,0.666667,0.916667
ADV-884BC4E303,21,insider_threat_cloud_001,1.0,1.0,0.75,0.9375
ADV-7DE4C3CBE2,22,CB-APT29-ICS-001,1.0,1.0,0.8,0.95
ADV-FE4A4D361C,23,APT41-Ransomware-Retail-2023,1.0,1.0,0.6,0.9
ADV-BF4DA2C54F,24,MP-001,1.0,1.0,0.75,0.9375
ADV-E64E13FB09,25,KIMSUKY-HOSPITAL-001,1.0,1.0,0.666667,0.916667
ADV-4F472F820C,26,healthcare_ransomware_attack_001,1.0,1.0,0.5,0.875
ADV-EC8A96AE85,27,APT-Cloud-001,1.0,1.0,0.6,0.9
ADV-B632365931,28,APT-Healthcare-001,1.0,1.0,0.4,0.85
ADV-28AEA274A3,29,healthcare_phishing_attack_001,1.0,1.0,0.666667,0.916667
ADV-911F49D19E,30,ICS-Phishing-001,1.0,0.85,0.666667,0.864167
ADV-BE77E9945E,31,phishing_cloud_001,1.0,1.0,0.75,0.9375
ADV-2FC797FDCB,32,healthcare_ransomware_001,1.0,1.0,0.75,0.9375
ADV-1B39E5FAC2,33,insider-threat-001,1.0,0.85,0.8,0.8975
ADV-54F555CDE3,34,ICS-INSIDER-001,1.0,0.85,0.6,0.8475
ADV-944EB97AF7,35,HT-2023-001,1.0,1.0,0.666667,0.916667
ADV-2C86ACB7C2,36,kimsuky-water-treatment-ransomware,1.0,1.0,0.666667,0.916667
ADV-537B960BB1,37,MUSTANG_PANDA_WATER_01,1.0,1.0,0.666667,0.916667
ADV-A85CFD78B3,38,insider-threat-cloud-001,1.0,0.85,0.6,0.8475
ADV-A94EA274FF,39,APT41_Telecom_Phishing_001,1.0,1.0,0.666667,0.916667
ADV-117803985B,40,Lazarus_Group_Ransomware_Telecom_2023,1.0,1.0,0.75,0.9375
ADV-748451A420,41,Ransomware_Cloud_001,1.0,1.0,0.5,0.875
ADV-658E67D770,42,ICS-Phishing-001,1.0,1.0,0.666667,0.916667
ADV-D169F3E5C9,43,healthcare_ransomware_001,1.0,1.0,0.75,0.9375
ADV-589193E08E,44,APT29_Critical_Infrastructure_Campaign,1.0,1.0,0.666667,0.916667
ADV-4739721DD4,45,insider-threat-healthcare-001,1.0,0.85,0.8,0.8975
ADV-688F54D5AD,46,phishing_attack_001,1.0,1.0,0.8,0.95
ADV-DC24272123,47,APT41_WaterTreatment_2023,1.0,1.0,0.833333,0.958333
ADV-D72EDCE81F,48,ICS-Ransomware-001,1.0,1.0,0.555556,0.888889
ADV-C1A2F003FB,49,APT35_Ransomware_ICS_001,1.0,1.0,0.75,0.9375
ADV-C62AD7706B,50,APT35_Ransomware_001,1.0,1.0,0.8,0.95
ADV-729E3589A0,51,ICS-Ransomware-001,1.0,0.85,0.666667,0.864167
ADV-18C7BB3563,52,phishing_attack_healthcare_001,1.0,1.0,0.428571,0.857143
ADV-BE4619ACAB,53,ICS-Phishing-001,1.0,0.7,0.5,0.77
ADV-C452614FB5,54,Kimsuky_Insider_Threat_Cloud_SaaS_001,1.0,1.0,0.666667,0.916667
ADV-2D2C035F32,55,APT-ICS-001,1.0,1.0,0.272727,0.818182
ADV-7D8CF074F1,56,LZ-APT-2023-004,1.0,1.0,0.833333,0.958333
ADV-F44B46030C,57,insider-threat-simulation-001,1.0,1.0,0.666667,0.916667
ADV-86D500B330,58,phishing_attack_001,1.0,0.85,0.75,0.885
ADV-49741AFCB0,59,APT28_Phishing_Payload_Delivery,1.0,1.0,0.666667,0.916667
ADV-2D2E337E83,60,lazarus-water-treatment-phishing-001,1.0,1.0,0.75,0.9375
ADV-DC9B4AC07F,61,APT41_Ransomware_Pharmaceutical,1.0,1.0,0.857143,0.964286
ADV-F87C2B06AB,62,insider-threat-healthcare-001,1.0,0.85,0.5,0.8225
ADV-858FF409BE,63,APT35-Cloud-SaaS-2023,1.0,1.0,0.5,0.875
ADV-CF6E358E00,64,APT-ICS-001,1.0,1.0,0.7,0.925
ADV-29E14D6D4B,65,cloud_ransomware_attack_001,1.0,1.0,0.5,0.875
ADV-DCFF87F783,66,ICS-INSIDER-001,1.0,1.0,0.571429,0.892857
ADV-D2F2A3FD48,67,APT35_InsiderThreat_LegalServices_001,1.0,1.0,0.5,0.875
ADV-F741000ABB,68,sandworm_gov_defense_01,1.0,1.0,0.333333,0.833333
ADV-F83F8E3C87,69,APT35-Insider-Threat-001,1.0,1.0,0.666667,0.916667
ADV-B328944C9E,70,phishing_attack_healthcare_001,1.0,1.0,0.5,0.875
ADV-D1D48E2E74,71,APT28-ICS-2023,1.0,1.0,0.666667,0.916667
ADV-93060DA2EA,72,APT-Cloud-001,1.0,0.85,0.666667,0.864167
ADV-597CD136C1,73,cloud_phishing_attack_001,1.0,1.0,0.714286,0.928571
ADV-17998624DB,74,sandworm_legal_supply_chain_poisoning,1.0,1.0,0.4,0.85
ADV-172020B26D,75,Ransomware_Cloud_001,1.0,1.0,0.75,0.9375
ADV-27726A1125,76,insider-threat-cloud-001,1.0,1.0,0.714286,0.928571
ADV-A58C1974D9,77,LZ-2023-001,1.0,1.0,0.833333,0.958333
ADV-228867A335,78,ransomware_attack_001,1.0,1.0,0.75,0.9375
ADV-E173418C4C,79,SANDWORM_INSIDER_THREAT_001,1.0,1.0,0.666667,0.916667
ADV-D65302B796,80,phishing_attack_cloud_001,1.0,1.0,0.6,0.9
ADV-B79E672C31,81,Kimsuky_Insider_Threat_001,1.0,1.0,0.8,0.95
ADV-2579517B32,82,insider-threat-cloud-001,1.0,0.85,0.6,0.8475
ADV-336BB0B923,83,KIMSUKY-HOSP-APT-001,1.0,1.0,0.333333,0.833333
ADV-308EE463DE,84,insider-threat-001,1.0,1.0,0.571429,0.892857
ADV-2387A39A4E,85,ransomware_attack_001,1.0,1.0,0.666667,0.916667
ADV-091AC7E718,86,insider_threat_cloud_easy_01,1.0,0.85,0.666667,0.864167
ADV-43448EC33B,87,Ransomware_Sandworm_Retail_001,1.0,1.0,0.666667,0.916667
ADV-130B8C0B65,88,APT-Healthcare-001,1.0,1.0,0.666667,0.916667
ADV-B6C82F9C4E,89,APT35-Ransomware-Hospital-2023,1.0,1.0,0.75,0.9375
ADV-104421C9EC,90,APT35_InsiderThreat_CriticalInfrastructure,1.0,1.0,0.666667,0.916667
ADV-1C75A1170D,91,healthcare_ransomware_attack_001,1.0,1.0,0.75,0.9375
ADV-04EEFD39F2,92,phishing_attack_healthcare_001,1.0,1.0,0.571429,0.892857
ADV-37947ECE64,93,APT35_Phishing_SupplyChain,1.0,1.0,0.75,0.9375
ADV-122B15D2A0,94,CLOUD-RANSOMWARE-001,1.0,1.0,0.555556,0.888889
ADV-F0FBDC98EB,95,phishing_cloud_infrastructure_001,1.0,0.85,0.5,0.8225
ADV-05BF79C61E,96,insider_threat_healthcare_001,1.0,0.85,0.333333,0.780833
ADV-C729915AA3,97,phishing_healthcare_001,1.0,0.85,0.5,0.8225
ADV-07038D52DA,98,ransomware_attack_001,1.0,1.0,0.666667,0.916667
ADV-AEBFF549A2,99,phishing_healthcare_001,1.0,0.85,0.4,0.7975
ADV-7CBB7965C0,100,phishing_attack_01,1.0,0.85,0.6,0.8475
ADV-E81B68B9C0,101,MUSTANG-PANDA-MEDIA-RANSOMWARE-001,1.0,1.0,0.75,0.9375
