seq_id,scenario_id,attack_type,ATT_CK_Alignment_1_5,Stage_Sequence_1_5,Overall_Realism_1_5,Comments_optional
1,phishing_cloud_001,Phishing,,,,
2,ransomware_attack_001,Ransomware,,,,
3,SP-2023-001,Insider Threat,,,,
4,healthcare-phishing-easy-001,Phishing,,,,
5,KIMSUKY_LAW_FIRM_APT_001,APT,,,,
6,HT-2023-001,Insider Threat,,,,
7,ransomware_attack_cloud_001,Ransomware,,,,
8,APT_Easy_001,APT,,,,
9,APT28-WaterTreatment-001,Insider Threat,,,,
10,KIMSUKY_Pharma_Phishing_2023,Phishing,,,,
11,ICS-IT-001,Insider Threat,,,,
12,APT-Cloud-001,APT,,,,
13,APT28_InsiderThreat_MilitaryContractor_001,Insider Threat,,,,
14,APT29_Higher_Education_Phishing_001,Phishing,,,,
15,Kimsuky-APT-001,APT,,,,
16,insider-threat-cloud-001,Insider Threat,,,,
17,APT-001,APT,,,,
18,ICS-Ransomware-001,Ransomware,,,,
19,APT-ICS-001,APT,,,,
20,APT-2023-001,APT,,,,
21,APT-001,APT,,,,
22,ICS-Ransomware-001,Ransomware,,,,
23,MUSTANG_PANDA_MEDIA_PHISHING_01,Phishing,,,,
24,KIMSUKY_INSIDER_THREAT_001,Insider Threat,,,,
25,APT35-Ransomware-001,Ransomware,,,,
26,SANDWORM-2023-001,Ransomware,,,,
27,Lazarus_Insider_Threat_Ecommerce,Insider Threat,,,,
28,APT-ICS-001,APT,,,,
29,ICS_Phishing_Attack_001,Phishing,,,,
30,insider-threat-001,Insider Threat,,,,
31,healthcare-phishing-attack-001,Phishing,,,,
32,APT-CLOUD-001,APT,,,,
33,ICS-Phishing-Attack-001,Phishing,,,,
34,MUSTANG_PANDA_PHASE_1,Phishing,,,,
35,APT35-Phishing-001,Phishing,,,,
36,APT28-Insider-Threat-Ransomware,Insider Threat,,,,
37,KIMSUKY_RANSOMWARE_001,Ransomware,,,,
38,HCL-IT-2023-001,Insider Threat,,,,
39,phishing-cloud-001,Phishing,,,,
40,phishing-healthcare-001,Phishing,,,,
41,healthcare-phishing-attack-001,Phishing,,,,
42,Kimsuky-HigherEd-APT-001,APT,,,,
43,healthcare_ransomware_attack_001,Ransomware,,,,
44,healthcare_ransomware_attack_01,Ransomware,,,,
45,mustang_panda_ransomware_media_broadcasting,Ransomware,,,,
46,APT35_Telco_Destructive_001,APT,,,,
47,APT35_001,Insider Threat,,,,
48,ransomware_attack_001,Ransomware,,,,
49,SANDWORM-RETAIL-INSIDER-001,Insider Threat,,,,
50,LZ-2023-001,Phishing,,,,
51,APT-001,APT,,,,
52,Lazarus_Telecom_Ransomware_001,Ransomware,,,,
53,APT28-ICS-001,Insider Threat,,,,
54,APT35-WaterTreatment-001,APT,,,,
55,insider-threat-cloud-001,Insider Threat,,,,
56,lazarus_cloud_saas_espionage_001,APT,,,,
57,ICS_Ransomware_Scenario_01,Ransomware,,,,
58,sandworm-insider-threat-water-ICS-001,Insider Threat,,,,
59,PHISHING_CLOUD_001,Phishing,,,,
60,healthcare_phishing_attack_001,Phishing,,,,
61,APT29-ICS-Insider-01,Insider Threat,,,,
62,APT_Easy_001,APT,,,,
63,insider-threat-001,Insider Threat,,,,
64,sandworm-ransomware-001,Ransomware,,,,
65,APT-Healthcare-01,APT,,,,
66,Lazarus_Supply_Chain_2023,APT,,,,
67,APT-ICS-001,APT,,,,
68,APT-Healthcare-001,APT,,,,
69,APT-ICS-001,APT,,,,
70,healthcare_ransomware_attack_001,Ransomware,,,,
71,APT29_Phishing_Simulation_001,Phishing,,,,
72,APT28-Ransomware-Retail-001,Ransomware,,,,
73,INSIDER-THREAT-ICS-001,Insider Threat,,,,
74,APT29_InsiderThreat_Manufacturing_001,Insider Threat,,,,
75,ICS-Phishing-001,Phishing,,,,
76,mustang_panda_pharma_ransomware_001,Ransomware,,,,
77,ICS-Phishing-001,Phishing,,,,
78,sandworm_ransomware_hospital_001,Ransomware,,,,
79,APT35-Ransomware-001,Ransomware,,,,
80,MUSTANG_PANDA_CLOUD_SAAS_001,Phishing,,,,
81,PHISH_CLOUD_001,Phishing,,,,
82,Sandworm-Telecom-Insider-001,Insider Threat,,,,
83,APT_MustangPanda_Hospital_ED_001,APT,,,,
84,insider-threat-cloud-001,Insider Threat,,,,
85,APT_HC_001,APT,,,,
86,phishing_attack_cloud_001,Phishing,,,,
87,MUSTANG_PANDA_RANSOMWARE_001,Ransomware,,,,
88,Lazarus_Phishing_Critical_Infrastructure_001,Phishing,,,,
89,APT28-Pharma-001,Phishing,,,,
90,Kimsuky_Ransomware_ICS_001,Ransomware,,,,
91,APT35-Ransomware-Telecom-2023,Ransomware,,,,
92,mustang_panda_water_treatment_ics,Insider Threat,,,,
93,healthcare_ransomware_attack_001,Ransomware,,,,
94,APT35-Ransomware-2023,Ransomware,,,,
95,ICS-Insider-Threat-001,Insider Threat,,,,
96,MUSTANG_PANDA_AAPT_2023,APT,,,,
