blind_id,n_annotators,mean_attck_alignment,mean_stage_sequence,mean_overall_realism,rs_current,active_validity,structure,transition_coherence
ADV-001A0228DB,5,2.4,4.8,4.4,0.9375,1.0,1.0,0.75
ADV-02A61B0920,5,4.6,4.6,3.2,0.9,1.0,1.0,0.6
ADV-04EEFD39F2,5,4.4,4.6,4.4,0.892857,1.0,1.0,0.571429
ADV-05BF79C61E,5,4.6,4.8,4.2,0.780833,1.0,0.85,0.333333
ADV-07038D52DA,5,4.6,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-0706623242,5,4.6,4.6,4.4,0.861111,1.0,1.0,0.444444
ADV-091AC7E718,5,4.2,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-104421C9EC,5,4.6,4.8,4.0,0.916667,1.0,1.0,0.666667
ADV-117803985B,5,2.4,4.6,4.4,0.9375,1.0,1.0,0.75
ADV-122B15D2A0,5,4.2,4.6,4.4,0.888889,1.0,1.0,0.555556
ADV-12349FFD5B,5,3.6,4.8,4.4,0.7975,1.0,0.85,0.4
ADV-130B8C0B65,5,4.8,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-13DF3E4B51,5,3.6,4.2,4.2,0.9375,1.0,1.0,0.75
ADV-172020B26D,5,4.6,4.8,4.2,0.9375,1.0,1.0,0.75
ADV-17998624DB,5,2.8,4.8,4.4,0.85,1.0,1.0,0.4
ADV-1819745172,5,4.6,4.2,4.2,0.875,1.0,1.0,0.5
ADV-18C7BB3563,5,4.0,4.6,4.4,0.857143,1.0,1.0,0.428571
ADV-1B39E5FAC2,5,3.2,3.2,4.2,0.8975,1.0,0.85,0.8
ADV-1C75A1170D,5,4.8,4.6,3.4,0.9375,1.0,1.0,0.75
ADV-1CAA91B171,5,2.4,4.6,3.2,0.9375,1.0,1.0,0.75
ADV-1DD7ACE353,5,4.0,4.8,4.2,0.875,1.0,1.0,0.5
ADV-1E2C3F7D1C,5,4.6,4.6,4.2,0.958333,1.0,1.0,0.833333
ADV-1EE4472C38,5,4.4,4.8,4.2,0.875,1.0,1.0,0.5
ADV-228867A335,5,3.2,4.8,4.2,0.9375,1.0,1.0,0.75
ADV-22A741209D,5,4.2,4.6,4.2,0.8975,1.0,0.85,0.8
